station_id,latitude,longitude,wind_dir_degrees,wind_speed_kt
EDTY,49.118,9.784,90,6
EDTL,48.369,7.828,360,9
EDSB,48.779,8.081,20,11
EDNY,47.671,9.511,40,7
EDMO,48.081,11.283,20,7
EDLW,51.518,7.612,70,5
EDLV,51.602,6.142,110,7
EDLP,51.614,8.616,90,6
EDLN,51.23,6.504,130,6
EDJA,47.989,10.239,50,5
EDHL,53.805,10.719,310,6
EDHK,54.376,10.143,310,7
EDHI,53.536,9.837,260,4
EDGS,50.708,8.083,140,5
EDFM,49.474,8.515,80,6
EDFH,49.946,7.265,100,10
EDDS,48.69,9.222,100,5
EDDR,49.213,7.108,100,9
EDDP,51.435,12.24,360,5
EDDN,49.503,11.055,330,4
EDDM,48.348,11.813,10,1
EDDL,51.296,6.769,110,7
EDDK,50.865,7.157,110,7
EDDF,50.045,8.598,100,8
EDDC,51.128,13.7543,330,7
EDDB,52.3807,13.5306,330,10
EDAH,53.879,14.152,330,9
EBOS,51.199,2.862,100,8
EBCI,50.459,4.454,150,7
EBBR,50.896,4.526,120,5
EBAW,51.189,4.46,100,7
CYBR,49.91,-99.945,300,6
PAZK,61.938,-147.169,230,5
PAWD,60.129,-149.418,0,0
PAKH,56.94,-154.181,330,6
PAIG,59.325,-155.897,240,12
PAHX,62.688,-159.566,210,10
KODX,41.6234,-98.9489,0,0
KLEE,28.8214,-81.8006,130,5
KAEX,31.3346,-92.5585,210,7
K2V6,40.1047,-102.713,310,4
CWGZ,76.423,-82.902,200,4
PAQH,59.751,-161.842,180,28
PAJZ,59.727,-157.267,210,11
KWST,41.3509,-71.8055,340,6
KPNS,30.478,-87.1869,280,6
KGSH,41.5265,-85.7872,200,7
KBVX,35.7259,-91.6517,220,7
CYDP,56.549,-61.684,270,18
PFKW,60.793,-161.44,190,15
PATK,62.319,-150.097,180,5
KVTA,40.0263,-82.4635,200,7
KATT,30.3208,-97.7604,200,6
KI69,39.078,-84.21,250,5
KHSV,34.6441,-86.7861,250,6
KGKT,35.8568,-83.5333,0,0
KFHR,48.52,-123.026,0,0
KCLT,35.2225,-80.9543,220,6
KAQW,42.6973,-73.1696,0,0
CYZP,53.254,-131.814,250,2
CYYD,54.823,-127.185,0,0
CYHK,68.633,-95.851,160,7
CYCX,45.839,-66.45,150,5
PFZK,60.9156,-161.488,180,10
PAUT,54.145,-165.604,310,7
PAMC,62.957,-155.61,200,6
PAAD,70.136,-146.29,80,13
LMML,35.858,14.477,260,10
LIRP,43.684,10.393,290,10
KZPH,28.2268,-82.1564,0,0
KZER,40.7072,-76.371,0,0
KY70,42.9398,-85.0653,240,7
KY63,45.9891,-95.9946,300,4
KY51,43.5814,-90.8997,0,0
KY49,47.1599,-94.6433,290,3
KY31,44.2434,-84.18,240,3
KY23,45.311,-91.638,0,0
KY19,46.7648,-100.894,120,4
KXSA,37.8606,-76.9016,170,5
KXNX,36.3745,-86.41,210,3
KXLL,40.5704,-75.4894,200,3
KX60,29.3524,-82.4743,170,3
KX26,27.813,-80.497,0,0
KWYS,44.6811,-111.124,0,0
KWDR,33.981,-83.667,0,0
KWBF,26.9305,-90.5069,160,7
KW99,38.9947,-79.1421,0,0
KW81,37.1813,-78.0977,210,7
KW78,36.7087,-78.846,240,6
KW75,37.6024,-76.4477,160,7
KW63,36.6008,-78.5559,230,7
KW43,44.6607,-104.568,280,4
KW22,39.001,-80.2712,220,5
KW13,38.077,-78.944,280,4
KVYS,41.3517,-89.1496,170,4
KVWU,48.1502,-94.512,0,0
KVVV,45.2994,-96.4256,250,3
KVVS,39.9581,-79.6575,230,6
KVTP,37.512,-105.171,280,8
KVPC,34.1158,-84.8507,0,0
KVNW,40.8633,-84.613,240,5
KVLL,42.543,-83.178,0,0
KVKS,32.2359,-90.9269,230,5
KVJI,36.6871,-82.037,230,5
KVHN,31.0602,-104.783,200,8
KVGC,42.8444,-75.5637,0,0
KVES,40.2056,-84.5346,240,6
KVER,38.9496,-92.6842,210,3
KVDI,32.1933,-82.3642,210,5
KVDF,28.0198,-82.3415,0,0
KVCV,34.5933,-117.389,220,6
KVBW,38.366,-78.968,250,3
KVAF,27.3536,-94.6253,150,10
KUYF,39.9312,-83.465,250,8
KUXL,30.135,-93.3767,180,5
KUWL,39.8752,-85.3313,230,8
KUVA,29.2135,-99.743,150,11
KUUV,38.2335,-91.1609,210,6
KUTA,34.6766,-90.344,220,10
KUSE,41.6118,-84.1275,230,6
KUOX,34.3851,-89.5435,230,7
KUNU,43.4285,-88.7017,160,3
KUNI,39.2129,-82.2204,200,3
KUMP,39.936,-86.0478,230,6
KULS,37.6037,-101.377,310,7
KULM,44.3228,-94.5024,250,5
KUKT,40.4368,-75.3802,0,0
KUKL,38.3041,-95.7217,210,9
KUBE,45.5046,-91.978,330,4
KU69,40.198,-110.387,270,4
KU68,44.9113,-108.447,0,0
KU64,37.9333,-109.34,90,5
KU52,38.232,-112.672,0,0
KU42,40.6196,-111.99,160,17
KTYQ,40.0345,-86.2488,230,9
KTYL,34.4577,-110.112,160,5
KTXW,26.1824,-97.9742,160,13
KTWT,37.5432,-87.9568,240,3
KTWM,47.0192,-91.7447,230,3
KTVY,40.6127,-112.354,50,3
KTVK,40.6832,-92.8984,170,5
KTVI,30.9026,-83.8826,0,0
KTTF,41.9371,-83.4332,250,7
KTQV,36.007,-78.937,230,7
KTQH,35.9304,-95.0025,200,8
KTPF,27.9153,-82.4518,0,0
KTOC,34.588,-83.2974,220,4
KTOB,44.0202,-92.8295,0,0
KTNU,41.6701,-93.019,290,3
KTNB,36.1988,-81.6515,0,0
KTMT,39.4643,-117.197,0,0
KTMK,45.421,-123.814,0,0
KTME,29.806,-95.903,190,8
KTMA,31.4229,-83.4859,170,5
KTKX,36.2226,-90.0367,230,12
KTKV,45.469,-89.805,0,0
KTIP,40.291,-88.146,150,6
KTIF,41.9646,-100.569,90,4
KTHA,35.3804,-86.2419,220,6
KTGI,37.8279,-75.9964,170,10
KTFP,27.9132,-97.2132,180,12
KTEX,37.954,-107.909,150,4
KTEW,42.5636,-84.4222,240,4
KTBR,32.48,-81.738,220,5
KTAZ,39.535,-89.3294,100,9
KT89,29.2774,-103.691,120,8
KT82,30.239,-98.904,180,10
KT74,30.5704,-97.4447,190,9
KT69,28.0418,-97.541,190,10
KT41,29.6709,-95.0644,190,8
KT35,30.8789,-96.9704,200,9
KT20,29.5301,-97.463,160,9
KSZT,48.2945,-116.567,0,0
KSYN,44.474,-93.014,330,4
KSYM,38.2199,-83.5835,0,0
